2022-01-16 15:43:22,703 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:22,704 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:23,214 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:23,216 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:23,728 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:23,728 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:24,241 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:24,242 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:24,742 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:24,743 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:25,245 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:25,245 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:25,747 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:25,747 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:26,262 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:26,263 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:26,778 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:26,778 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:27,290 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:27,290 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:27,799 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:27,800 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:28,315 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:28,315 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:28,828 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:28,830 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:29,342 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
